                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.94202,                0.88015,                 1.0774,                0.75282,                0.71521,                0.75446,                0.56438,                0.88066,                0.60223,                 1.0637,              0.0016675,              0.0016675,              0.0016675
                    104,                0.94958,                0.88968,                 1.0804,                0.75331,                0.71713,                0.75512,                0.56485,                0.88035,                0.60212,                 1.0635,               0.001585,               0.001585,               0.001585
                    105,                0.94809,                 0.8817,                  1.081,                 0.7516,                0.71645,                0.75283,                0.56271,                0.87991,                0.60274,                 1.0632,              0.0015025,              0.0015025,              0.0015025
                    106,                0.94314,                0.87942,                 1.0791,                0.75462,                0.71587,                 0.7531,                 0.5639,                0.87935,                0.60231,                 1.0627,                0.00142,                0.00142,                0.00142
                    107,                0.93165,                0.87428,                 1.0732,                 0.7553,                0.71962,                0.75409,                0.56456,                0.87972,                0.60347,                 1.0631,              0.0013375,              0.0013375,              0.0013375
                    108,                0.93402,                0.87177,                 1.0794,                0.75407,                0.72078,                0.75513,                0.56597,                0.88013,                0.60418,                 1.0634,               0.001255,               0.001255,               0.001255
                    109,                0.93367,                0.87483,                 1.0748,                0.75443,                0.71737,                0.75602,                0.56596,                0.87969,                0.60287,                 1.0632,              0.0011725,              0.0011725,              0.0011725
                    110,                0.93609,                0.85929,                 1.0737,                 0.7504,                0.72134,                0.75669,                0.56627,                0.87945,                0.60232,                 1.0628,                0.00109,                0.00109,                0.00109
                    111,                0.91922,                0.80459,                 1.0998,                  0.754,                0.71597,                0.75449,                0.56434,                0.87996,                0.60098,                  1.063,              0.0010075,              0.0010075,              0.0010075
                    112,                0.91081,                0.79164,                 1.0994,                0.75237,                0.71743,                0.75361,                0.56372,                0.87989,                0.60154,                 1.0632,               0.000925,               0.000925,               0.000925
                    113,                0.90476,                0.78275,                 1.0906,                 0.7535,                0.71511,                0.75274,                0.56372,                0.87998,                0.60116,                 1.0632,              0.0008425,              0.0008425,              0.0008425
